iteration,movieId,title,rating
7,1923,There's Something About Mary (1998),1.7155657260207826
7,457,"Fugitive, The (1993)",1.7149618416070982
7,1304,Butch Cassidy and the Sundance Kid (1969),1.7109184205058527
7,48,Pocahontas (1995),1.7070681088596378
7,892,Twelfth Night (1996),1.6941261811238544
7,1260,M (1931),1.6925614772565507
7,35836,"40-Year-Old Virgin, The (2005)",1.68057692597037
7,551,"Nightmare Before Christmas, The (1993)",1.6730700253652695
7,3134,Grand Illusion (La grande illusion) (1937),1.6708597730084143
7,858,"Godfather, The (1972)",1.667907682065643
8,1380,Grease (1978),1.421591247969083
8,2657,"Rocky Horror Picture Show, The (1975)",1.4109878809892034
8,148626,"Big Short, The (2015)",1.4089266226703194
8,590,Dances with Wolves (1990),1.4088664983927244
8,62,Mr. Holland's Opus (1995),1.4079830778931381
8,1921,Pi (1998),1.4011248686280067
8,597,Pretty Woman (1990),1.4003952342962747
8,3396,"Muppet Movie, The (1979)",1.3861102640494707
8,80463,"Social Network, The (2010)",1.3848537246021966
8,2002,Lethal Weapon 3 (1992),1.3790634272545816
9,1080,Monty Python's Life of Brian (1979),1.6454934774049916
9,1193,One Flew Over the Cuckoo's Nest (1975),1.6420532550669436
9,520,Robin Hood: Men in Tights (1993),1.6405049577381976
9,158,Casper (1995),1.637762744982379
9,153,Batman Forever (1995),1.6285693845970424
9,592,Batman (1989),1.6256154187640264
9,3006,"Insider, The (1999)",1.619577120835776
9,10,GoldenEye (1995),1.6145003082662504
9,8477,"Jetée, La (1962)",1.6107370232302594
9,25771,"Andalusian Dog, An (Chien andalou, Un) (1929)",1.6107370232302594
10,148881,World of Tomorrow (2015),1.8795037275210973
10,99764,It's Such a Beautiful Day (2012),1.8795037275210973
10,3676,Eraserhead (1977),1.8795037275210973
10,71899,Mary and Max (2009),1.8795037275210973
10,6818,Come and See (Idi i smotri) (1985),1.8795037275210973
10,40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",1.8795037275210973
10,1411,Hamlet (1996),1.8786303246394196
10,48780,"Prestige, The (2006)",1.876859080369707
10,60684,Watchmen (2009),1.869868242565458
10,106782,"Wolf of Wall Street, The (2013)",1.8696253319210756
