iteration,movieId,title,rating
7,1923,There's Something About Mary (1998),1.7155657260207826
7,457,"Fugitive, The (1993)",1.7149618416070982
7,1304,Butch Cassidy and the Sundance Kid (1969),1.7109184205058527
7,48,Pocahontas (1995),1.7070681088596378
7,892,Twelfth Night (1996),1.6941261811238544
7,1260,M (1931),1.6925614772565507
7,35836,"40-Year-Old Virgin, The (2005)",1.68057692597037
7,551,"Nightmare Before Christmas, The (1993)",1.6730700253652695
7,3134,Grand Illusion (La grande illusion) (1937),1.6708597730084143
7,858,"Godfather, The (1972)",1.667907682065643
8,1380,Grease (1978),1.421591247969083
8,2657,"Rocky Horror Picture Show, The (1975)",1.4109878809892034
8,148626,"Big Short, The (2015)",1.4089266226703194
8,590,Dances with Wolves (1990),1.4088664983927244
8,62,Mr. Holland's Opus (1995),1.4079830778931381
8,1921,Pi (1998),1.4011248686280067
8,597,Pretty Woman (1990),1.4003952342962747
8,3396,"Muppet Movie, The (1979)",1.3861102640494707
8,80463,"Social Network, The (2010)",1.3848537246021966
8,2002,Lethal Weapon 3 (1992),1.3790634272545816
9,1080,Monty Python's Life of Brian (1979),1.6454934774049916
9,1193,One Flew Over the Cuckoo's Nest (1975),1.6420532550669436
9,520,Robin Hood: Men in Tights (1993),1.6405049577381976
9,158,Casper (1995),1.637762744982379
9,153,Batman Forever (1995),1.6285693845970424
9,592,Batman (1989),1.6256154187640264
9,3006,"Insider, The (1999)",1.619577120835776
9,10,GoldenEye (1995),1.6145003082662504
9,8477,"Jetée, La (1962)",1.6107370232302594
9,25771,"Andalusian Dog, An (Chien andalou, Un) (1929)",1.6107370232302594
10,148881,World of Tomorrow (2015),1.8795037275210973
10,99764,It's Such a Beautiful Day (2012),1.8795037275210973
10,3676,Eraserhead (1977),1.8795037275210973
10,71899,Mary and Max (2009),1.8795037275210973
10,6818,Come and See (Idi i smotri) (1985),1.8795037275210973
10,40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",1.8795037275210973
10,1411,Hamlet (1996),1.8786303246394196
10,48780,"Prestige, The (2006)",1.876859080369707
10,60684,Watchmen (2009),1.869868242565458
10,106782,"Wolf of Wall Street, The (2013)",1.8696253319210756
11,4878,Donnie Darko (2001),0.07511246929717769
11,107,Muppet Treasure Island (1996),0.07506639398158671
11,2731,"400 Blows, The (Les quatre cents coups) (1959)",0.07495010635396203
11,104,Happy Gilmore (1996),0.07459104661596887
11,5991,Chicago (2002),0.07448045573305138
11,608,Fargo (1996),0.07439958706809019
11,3424,Do the Right Thing (1989),0.0743300166320053
11,364,"Lion King, The (1994)",0.0742779996517634
11,778,Trainspotting (1996),0.07412146317365424
11,2081,"Little Mermaid, The (1989)",0.0740701144773362
12,2997,Being John Malkovich (1999),1.2303991937915906
12,912,Casablanca (1942),1.2299355146423994
12,44555,"Lives of Others, The (Das leben der Anderen) (2006)",1.2293797200044152
12,440,Dave (1993),1.227565408212015
12,923,Citizen Kane (1941),1.227397561925404
12,2804,"Christmas Story, A (1983)",1.2246516695010943
12,7143,"Last Samurai, The (2003)",1.221342971220136
12,112556,Gone Girl (2014),1.2205799132001596
12,272,"Madness of King George, The (1994)",1.2163998909685345
12,552,"Three Musketeers, The (1993)",1.2152164461212218
13,112,Rumble in the Bronx (Hont faan kui) (1995),1.1088770777449406
13,134853,Inside Out (2015),1.108533563833285
13,5349,Spider-Man (2002),1.1077454902485275
13,3037,Little Big Man (1970),1.1057543952576188
13,500,Mrs. Doubtfire (1993),1.1054969843703935
13,168,First Knight (1995),1.1041203294304989
13,367,"Mask, The (1994)",1.102126349090477
13,3916,Remember the Titans (2000),1.099585794721325
13,1250,"Bridge on the River Kwai, The (1957)",1.096517934344634
13,933,To Catch a Thief (1955),1.0946984881347597
14,55820,No Country for Old Men (2007),1.241607141148955
14,349,Clear and Present Danger (1994),1.240688666880465
14,1230,Annie Hall (1977),1.23955120365804
14,898,"Philadelphia Story, The (1940)",1.2378356349593211
14,3897,Almost Famous (2000),1.235392979423506
14,34405,Serenity (2005),1.2351155696759428
14,3088,Harvey (1950),1.2310167119557835
14,48774,Children of Men (2006),1.2303235377154795
14,1272,Patton (1970),1.2302459236000227
14,8665,"Bourne Supremacy, The (2004)",1.2293095951969266
15,480,Jurassic Park (1993),1.3529878511833233
15,2300,"Producers, The (1968)",1.3521989550198328
15,116797,The Imitation Game (2014),1.3517222203163481
15,1104,"Streetcar Named Desire, A (1951)",1.351335494345119
15,1208,Apocalypse Now (1979),1.3511628225504886
15,51255,Hot Fuzz (2007),1.3496515126540474
15,1084,Bonnie and Clyde (1967),1.3462223462475695
15,4019,Finding Forrester (2000),1.3449473017517055
15,903,Vertigo (1958),1.3418714483787266
15,81845,"King's Speech, The (2010)",1.341835905128376
16,3147,"Green Mile, The (1999)",1.0690407697122117
16,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1.0677905415180344
16,648,Mission: Impossible (1996),1.067559281816209
16,924,2001: A Space Odyssey (1968),1.0667487088381187
16,2502,Office Space (1999),1.0629910457252214
16,1136,Monty Python and the Holy Grail (1975),1.0614665001954262
16,3468,"Hustler, The (1961)",1.0590227143665154
16,1206,"Clockwork Orange, A (1971)",1.0586511473941234
16,1207,To Kill a Mockingbird (1962),1.057870019035675
16,60,"Indian in the Cupboard, The (1995)",1.057510214737219
17,928,Rebecca (1940),1.1846680508332235
17,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),1.1829226856312232
17,1283,High Noon (1952),1.181447812808439
17,58301,Funny Games U.S. (2007),1.179901028255872
17,156605,Paterson,1.179901028255872
17,2138,Watership Down (1978),1.179901028255872
17,134170,Kung Fury (2015),1.179901028255872
17,143367,Silence (2016),1.179901028255872
17,112421,Frank (2014),1.179901028255872
17,1267,"Manchurian Candidate, The (1962)",1.1791243280128452
18,74458,Shutter Island (2010),0.6832863273050082
18,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0.6808712503866589
18,1247,"Graduate, The (1967)",0.6801507284598451
18,1240,"Terminator, The (1984)",0.6800263532735226
18,2692,Run Lola Run (Lola rennt) (1998),0.678808720102386
18,111759,Edge of Tomorrow (2014),0.6784491356283703
18,1912,Out of Sight (1998),0.6778629683278957
18,417,Barcelona (1994),0.6766889575581706
18,2302,My Cousin Vinny (1992),0.6747867498993421
18,317,"Santa Clause, The (1994)",0.6743804444738755
19,97304,Argo (2012),0.8508136062081217
19,1204,Lawrence of Arabia (1962),0.8506144434640803
19,1276,Cool Hand Luke (1967),0.850234228082858
19,261,Little Women (1994),0.85005954391809
19,910,Some Like It Hot (1959),0.8498063094399968
19,2019,Seven Samurai (Shichinin no samurai) (1954),0.8476763955369478
19,1961,Rain Man (1988),0.8470638336367006
19,1203,12 Angry Men (1957),0.8458254112199284
19,3198,Papillon (1973),0.8443595866319874
19,1387,Jaws (1975),0.8442690296634741
20,112852,Guardians of the Galaxy (2014),0.9907297693715076
20,45499,X-Men: The Last Stand (2006),0.9904101359885373
20,1278,Young Frankenstein (1974),0.9902461863828642
20,1213,Goodfellas (1990),0.9898810263496333
20,1222,Full Metal Jacket (1987),0.9882972122197067
20,1225,Amadeus (1984),0.9878554325638218
20,914,My Fair Lady (1964),0.9867373837768529
20,3785,Scary Movie (2000),0.9855213668052091
20,2087,Peter Pan (1953),0.9846575601035069
20,4011,Snatch (2000),0.9839759964191237
21,3060,"Commitments, The (1991)",0.7695891456558928
21,1292,Being There (1979),0.7687426229080112
21,109487,Interstellar (2014),0.7685602745618356
21,736,Twister (1996),0.7666745843105911
21,2917,Body Heat (1981),0.7666696846896867
21,2028,Saving Private Ryan (1998),0.7663702667100822
21,1261,Evil Dead II (Dead by Dawn) (1987),0.7653925318788081
21,4963,Ocean's Eleven (2001),0.7649053466193241
21,1221,"Godfather: Part II, The (1974)",0.7641183630295796
21,442,Demolition Man (1993),0.7638607712392039
22,3967,Billy Elliot (2000),1.1750810059821482
22,2599,Election (1999),1.1731671598317797
22,3,Grumpier Old Men (1995),1.1727571249439392
22,783,"Hunchback of Notre Dame, The (1996)",1.1698647434994995
22,5060,M*A*S*H (a.k.a. MASH) (1970),1.167956198465915
22,1288,This Is Spinal Tap (1984),1.1678829781114233
22,3104,Midnight Run (1988),1.1671745252820054
22,593,"Silence of the Lambs, The (1991)",1.167093202228832
22,152081,Zootopia (2016),1.166765634105341
22,2329,American History X (1998),1.1641874109743873
23,3578,Gladiator (2000),1.100594132316681
23,529,Searching for Bobby Fischer (1993),1.0995454870179924
23,1073,Willy Wonka & the Chocolate Factory (1971),1.0993614066156407
23,81591,Black Swan (2010),1.0984638343187203
23,5418,"Bourne Identity, The (2002)",1.0967345111356748
23,3893,Nurse Betty (2000),1.0952991430578503
23,3671,Blazing Saddles (1974),1.0948785888852188
23,3798,What Lies Beneath (2000),1.0932433598634168
23,92259,Intouchables (2011),1.091057696638594
23,3114,Toy Story 2 (1999),1.0894692989963488
24,5693,Saturday Night Fever (1977),0.913820430514704
24,3994,Unbreakable (2000),0.9126774557809315
24,89745,"Avengers, The (2012)",0.9124202195952927
24,3869,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",0.9123760424481766
24,1617,L.A. Confidential (1997),0.9098378376492602
24,1270,Back to the Future (1985),0.9096042930890613
24,953,It's a Wonderful Life (1946),0.9092649299863641
24,969,"African Queen, The (1951)",0.908841670862368
24,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),0.9084997319965471
24,2670,Run Silent Run Deep (1958),0.9073920647335795
25,508,Philadelphia (1993),0.5810940876865952
25,828,"Adventures of Pinocchio, The (1996)",0.5809931128494463
25,108932,The Lego Movie (2014),0.5806427385937769
25,2764,"Thomas Crown Affair, The (1968)",0.5800129508770813
25,223,Clerks (1994),0.5799848780742008
25,105844,12 Years a Slave (2013),0.5799242714670372
25,852,Tin Cup (1996),0.5798235468324259
25,1500,Grosse Pointe Blank (1997),0.5792656254172195
25,2384,Babe: Pig in the City (1998),0.5790070332949783
25,1079,"Fish Called Wanda, A (1988)",0.5782623951304267
26,2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),1.5459781160850832
26,1704,Good Will Hunting (1997),1.545200060345215
26,115617,Big Hero 6 (2014),1.54482688634893
26,5218,Ice Age (2002),1.5441801385600868
26,3510,Frequency (2000),1.5440292685104031
26,3398,"Muppets Take Manhattan, The (1984)",1.5415753718111436
26,194,Smoke (1995),1.5415526825426382
26,296,Pulp Fiction (1994),1.540177850543873
26,1262,"Great Escape, The (1963)",1.5382104890701265
26,733,"Rock, The (1996)",1.5349316916381144
27,57502,Cat Soup (Nekojiru-so) (2001),0.7300009495321339
27,7024,"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)",0.7300009495321339
27,180031,The Shape of Water (2017),0.7300009495321339
27,106487,The Hunger Games: Catching Fire (2013),0.729667656972459
27,66097,Coraline (2009),0.729567198037779
27,30749,Hotel Rwanda (2004),0.728809464603974
27,91500,The Hunger Games (2012),0.7287779492703158
27,68954,Up (2009),0.7284201868030551
27,610,Heavy Metal (1981),0.7282025755062238
27,1077,Sleeper (1973),0.7280893714563749
28,497,Much Ado About Nothing (1993),0.6346938602654613
28,1393,Jerry Maguire (1996),0.6344520557877819
28,177765,Coco (2017),0.6336298042863335
28,253,Interview with the Vampire: The Vampire Chronicles (1994),0.6333918816067513
28,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),0.6312477726804299
28,616,"Aristocats, The (1970)",0.6309448973604084
28,353,"Crow, The (1994)",0.6305276951864586
28,4029,State and Main (2000),0.6297508567080156
28,288,Natural Born Killers (1994),0.6292126292625083
28,3160,Magnolia (1999),0.6290084040695015
29,72998,Avatar (2009),1.1236593187137547
29,108190,Divergent (2014),1.1235405232067979
29,2352,"Big Chill, The (1983)",1.12343701369163
29,344,Ace Ventura: Pet Detective (1994),1.1224315171870236
29,1064,Aladdin and the King of Thieves (1996),1.1209970274992638
29,122922,Doctor Strange (2016),1.1167366882839624
29,69844,Harry Potter and the Half-Blood Prince (2009),1.116370636819502
29,111,Taxi Driver (1976),1.1152073045557995
29,3471,Close Encounters of the Third Kind (1977),1.1147180656340732
29,6,Heat (1995),1.1111235907588977
30,308,Three Colors: White (Trzy kolory: Bialy) (1994),1.3167656172770037
30,1466,Donnie Brasco (1997),1.313110546626358
30,231,Dumb & Dumber (Dumb and Dumber) (1994),1.3123309473464893
30,50872,Ratatouille (2007),1.3116696148105826
30,786,Eraser (1996),1.3073372051272074
30,185,"Net, The (1995)",1.3060158190388493
30,63082,Slumdog Millionaire (2008),1.304992732719301
30,2136,"Nutty Professor, The (1963)",1.3047376569402638
30,2194,"Untouchables, The (1987)",1.3036853405431028
30,1358,Sling Blade (1996),1.3021517091443713
