iteration,movieId,title,rating
6,1923,There's Something About Mary (1998),2.525129888438565
7,457,"Fugitive, The (1993)",2.3425969988279465
7,1304,Butch Cassidy and the Sundance Kid (1969),2.3370737819802185
7,48,Pocahontas (1995),2.3318143480452203
7,892,Twelfth Night (1996),2.314135983234209
7,1260,M (1931),2.31199863504682
7,35836,"40-Year-Old Virgin, The (2005)",2.295628023646512
7,653,Dragonheart (1996),2.28918543211571
7,551,"Nightmare Before Christmas, The (1993)",2.285373776349949
7,3134,Grand Illusion (La grande illusion) (1937),2.2823546243127413
7,858,"Godfather, The (1972)",2.2783221384491945
8,1380,Grease (1978),2.2885825629980823
8,2657,"Rocky Horror Picture Show, The (1975)",2.271512479868427
8,148626,"Big Short, The (2015)",2.26819411402088
8,590,Dances with Wolves (1990),2.2680973215191584
8,62,Mr. Holland's Opus (1995),2.2666751259660862
8,1921,Pi (1998),2.2556342742726088
8,597,Pretty Woman (1990),2.2544596550483047
8,3396,"Muppet Movie, The (1979)",2.231462655125516
8,80463,"Social Network, The (2010)",2.2294397851389016
8,2002,Lethal Weapon 3 (1992),2.2201181369061502
9,1080,Monty Python's Life of Brian (1979),2.2147645817446424
9,1193,One Flew Over the Cuckoo's Nest (1975),2.2101341880710974
9,520,Robin Hood: Men in Tights (1993),2.2080502453920148
9,158,Casper (1995),2.204359343075724
9,153,Batman Forever (1995),2.1919854690687797
9,592,Batman (1989),2.188009556072172
9,3006,"Insider, The (1999)",2.1798822626072347
9,10,GoldenEye (1995),2.1730490877441695
9,8477,"Jetée, La (1962)",2.1679838653515127
9,25771,"Andalusian Dog, An (Chien andalou, Un) (1929)",2.1679838653515127
10,148881,World of Tomorrow (2015),2.299494839197124
10,99764,It's Such a Beautiful Day (2012),2.299494839197124
10,3676,Eraserhead (1977),2.299494839197124
10,71899,Mary and Max (2009),2.299494839197124
10,6818,Come and See (Idi i smotri) (1985),2.299494839197124
10,40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",2.299494839197124
10,1411,Hamlet (1996),2.2984262670046087
10,48780,"Prestige, The (2006)",2.296259223120884
10,60684,Watchmen (2009),2.2877062230830836
10,106782,"Wolf of Wall Street, The (2013)",2.2874090319868574
